num	week	date	content	assignment	readings_ss	readings_fcv	type	misc
			Course Introduction				subheading	
1	W1	"Tue, Aug 19"	Introduction		S 1.1-1.3	"FCV 1,2,3"		
2	W1	"Thu, Aug 21"	Math Review					
3	W2	"Tue, Aug 26"	Light and Color	Syllabus Review Due	S 2.3.2	FCV 8		
4	W2	"Thu, Aug 28"	Cameras and Image Formation		"S 3.1.1-2, 3.2"	FCV 5		
			Filters and Features				subheading	
5	W3	"Tue, Sep 2"	Linear Filters	PS1 Due	"S 3.2.3, S 3.3.2-4, 4.2"			
6	W3	"Thu, Sep 4"	"Gradients, Edge Detection"		S 4.1			
7	W4	"Tue, Sep 9"	Local invariant features (part 1)		S 4.1			
8	W4	"Thu, Sep 11"	Local invariant features (part 2)		"S 2.1.1-2, 6.1.1, 6.1.4"			
			Geometry and Calibration				subheading	
9	W5	"Tue, Sep 16"	"Alignment, 2D Transformations, RANSAC"		S 4.3.2			
10	W5	"Thu, Sep 18"	Homography and image warping	PS2 Due				
11	W6	"Tue, Sep 23"	Intro Stereo and Calibration		S 3.6.1			Rosh Hashana
12	W6	"Thu, Sep 25"	Review Day		"S 7.2, 11.1.1, 11.2-11.5"			
13	W7	"Tue, Sep 30"	Exam 1 - in person		"S 7.2, 11.1.1, 11.2-11.5"		exam	
14	W7	"Thu, Oct 2"	Epipolar Geometry		"S 7.2, 11.1.1, 11.2-11.5"	"FCV 40, 44"		
	W8	"Tue, Oct 7"	Fall Break 		S 14.3		cancelled	Fall break
15	W8	"Thu, Oct 9"	Stereo & Structure from Motion					
			Deep Learning and Recognition				subheading	
16	W9	"Tue, Oct 14"	Intro to Learning	Check-in Survey Due				
17	W9	"Thu, Oct 16"	Gradient Based Learning		<a href='http://cs231n.github.io/optimization-2/'>CS 231 Backprop ex</a>			
18	W10	"Tue, Oct 21"	Neural Networks	PS3 Due				ICCV
19	W10	"Thu, Oct 23"	Backpropagation		<a href='http://cs231n.github.io/convolutional-networks/'>CS 231 Convnets</a>			ICCV
			Vision Architectures and Models				subheading	
20	W11	"Tue, Oct 28"	Convolutional Neural Networks I					
21	W11	"Thu, Oct 30"	Convolutional Neural Networks II					
22	W12	"Tue, Nov 4"	Vision Transformers		<a href='http://cs231n.github.io/convolutional-networks/'>CS 231 Convnets</a>			
23	W12	"Thu, Nov 6"	Segmentation & Detection					
			Advanced Applications and Topics (tentative)				subheading	
24	W13	"Tue, Nov 11"	Generative Models					
25	W13	"Thu, Nov 13"	The Importance of Data	PS4 Due		FCV 32		
26	W14	"Tue, Nov 18"	Review Day					
27	W14	"Thu, Nov 20"	Exam 2 - in person				exam	
28	W15	"Tue, Nov 25"	Recent Research					Tu before thanksgiving
	W15	"Thu, Nov 27"	Thanksgiving Break				cancelled	Thanksgiving
	W16	"Tue, Dec 2"	No Lecture 				cancelled	last day